,Name,Date,Date (DSW),Date (PWP),Date (KEH),Status,Location,Lat,Lon,Style,Building Type,Client,Client Type, Notes,Sources,Generated Lat,Generated Lon
0,"William ""Jay"" Paley Residence",1934.0,1934,1905-04-17 00:00:00,1905-04-17 00:00:00,,"1050 Brooklawn Dr Los Angeles, CA, USA",34.0885281,-118.4327692,,Residential/Single Family,Jay Paley,Private/Individual,(Beverly Hills - PWP),,34.08708646421075,-118.4300265134815
1,John Sheppard Residence,1926.0,1926,None,1905-04-12 00:00:00,,"111 Linda Vista Ave. Pasadena, CA,  USA",34.1455997,-118.1674669,,Residential/Single Family,John Shepherd,Private/Individual,,,34.1680398,-118.1767065
2,Charles Winberg Residence,1938.0,1938,None,1905-04-21 00:00:00,,"100 N. Delfern Dr.  Los Angeles, CA,  USA",34.0803612,-118.4283985,,Residential/Single Family,Charles Weinberg,Private/Individual,(Charles Winberg) - DSW,,34.079921,-118.428247
3,Fisk University Park Johnson Hall,1966.0,,None,None,,"1000 17th Ave N, Nashville, TN 37208",36.1626638,-86.7816016,,Educational,Fisk University,Private/Corporate,,,36.16707125,-86.80390651935417
4,Fisk University President's Residence,1966.0,,None,None,,"1000 17th Ave N, Nashville, TN 37208",36.1626638,-86.7816016,,Residential/Single Family,Fisk University,Private/Corporate,,,36.16707125,-86.80390651935417
5,"Fisk University, Basic College Building",1966.0,,None,None,,"1000 17th Ave N, Nashville, TN 37208",36.1626638,-86.7816016,,Educational,Fisk University,Private/Corporate,,,36.16707125,-86.80390651935417
6,John Landis Residence,1955.0,1955,before 1961,1905-05-08 00:00:00,,"1001 N. Crescent Dr. Beverly Hills CA, USA",34.084388,-118.414793,Colonial Revival,Residential/Single Family,John Landis,Private/Individual,,,34.08443765,-118.41478353086274
7,28th Street YMCA,1926.0,1926,1905-04-09 00:00:00,1905-04-08 00:00:00,,"1006 East 28th Street, Los Angeles CA, USA",34.017088,-118.257363,Spanish Colonial Revival,Recreational,,Public,"Bas-relief panels with busts of African American heroes, Spanish Rennaissance",,34.01733626530612,-118.25725491836734
8,Charles Correll Residence,1937.0,1937,1905-04-20 00:00:00,1905-04-20 00:00:00,,"10250 Sunset Blvd Los Angeles, CA, USA",34.081067,-118.431533,Georgian Colonial,Residential/Single Family,Charles Correll,Private/Individual,"Ten-thousand-square-foot, construction began May 1938, (Holmby Hills - DSW); ",,34.0413263,-118.5182387
9,Angelus Funeral Home ,1966.0,,None,1905-05-19 00:00:00,,"1030 E. Jefferson Blvd., Los Angeles, CA, USA",34.0119278,-118.2573327,,Commercial,,Private/Corporate,,,34.0121516119403,-118.25801498507462
10,Linde Medical Building/ Westwood Medical Building,1963.0,,1905-05-14 00:00:00,1960s,,"10921 Wilshire Blvd. Westwood CA, USA",34.059105,-118.4447646,Classic Modern,Medical,Morris Linde,Private/Corporate,,,34.05879,-118.444947
11,Blodgett Residence I,1922.0,1922,1905-04-05 00:00:00,1905-04-05 00:00:00,destroyed,"1102 S. Serrano Ave., Los Angeles, CA,  USA",34.050696,-118.305993,,Residential/Single Family,Louis M. Blodgett,Private/Individual,"Blodgett was m African-American Los Angeles entrepreneur with interests in construction, real estate, insurance and the funeral industryr; Destroyed, replaced in 1951; ",Ebony Magazine; usmodernist.org,34.050685122448975,-118.30621591836736
12,Los Angeles County Courthouse and Hall of Administration (assoc. architect),1958.0,1958,mid-1950s,1905-05-08 00:00:00,,"111 N. Hill St. Los Angeles CA, USA",34.0551585,-118.2467442,International Style,Government,,Public,Joint venture - Associated Architectures,,34.055472800000004,-118.24722654708813
13,Nickerson Gardens Public Housing,1953.0,1953,1905-05-07 00:00:00,1905-05-04 00:00:00,,"11400 Compton Ave. Los Angeles, CA, USA",33.9311232,-118.2462832,,Residential/Multi-Unit,,Public-gov,"1110-unit development, 55 acres that is where the Watts riots started",,33.931008,-118.246159
